text,Опыт работы,Обязанности,Дополнительные требования,График работы,Высшее образование,Требуемые навыки
"""Чем предстоит заниматься:  Обслуживание текущих абонентов (физических лиц) и устранение перебоев доступа к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом; Ремонт линий связи и настройка оборудования, проверка работоспособности; Консультирование клиентов по работе оборудования и техническим вопросам; Ведение отчетности в мобильном приложении.  Что мы от вас ждем:  Образование не ниже среднего; Опыт работы не нужен; Готовность к разъездному и интенсивному характеру работы; Грамотная речь и четкая дикция, умение быстро устанавливать контакт с людьми и выявлять потребности клиента; Нацеленность на результат и проактивность в решении повседневных задач. Будет вашим преимуществом: наличие опыта электромонтажных работ, настройки оборудования для выхода в интернет;  Мы предлагаем:  Доход состоит из оклада и ежемесячной премии по результатам работы; График работы 5/2 на период обучения, в дальнейшем 2/2 Оформление в штат с первого рабочего дня, расширенный соцпакет после испытательного срока: компенсация процентов по ипотечному кредиту; Оборудование и спецодежда предоставляются; Всестороннее развитие: корпоративный онлайн-университет, доступ к электронным библиотекам с широким выбором бизнес-литературы, компенсация профильного внешнего обучения; Компенсация сотовой связи и специальные условия на услуги компании для сотрудников, корпоративные скидки у компаний-партнеров;""","не нужен; наличие опыта электромонтажных работ, настройки оборудования для выхода в интернет","Обслуживание текущих абонентов (физических лиц) и устранение перебоев доступа к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом; Ремонт линий связи и настройка оборудования; проверка работоспособности; Консультирование клиентов по работе оборудования и техническим вопросам; Ведение отчетности в мобильном приложении",Готовность к разъездному; интенсивному характеру работы; Грамотная речь; четкая дикция; умение быстро устанавливать контакт с людьми; выявлять потребности клиента,"5/2 на период обучения, в дальнейшем 2/2",Образование не ниже среднего,
"""Работа в Ростелеком – это стабильность, интересные проекты, профессиональная команда и множество возможностей для развития! А ещё Ростелеком - это не просто компания, это - команда, объединённая общими ценностями и общей целью - быть лидером телеком и digital-рынков, давать людям качественные цифровые сервисы. Обязанности:  Технический учет транспортных сетей связи в зоне ответственности; Методологическое сопровождение подразделений сетей по вопросам технической эксплуатации; Ведение исполнительной схемной документации (только проверка и учет); Согласование проектов и контроль хода их реализации; Приемка объектов в эксплуатацию в зоне ответственности подразделения; Взаимодействие со сторонними организациями по вопросам эксплуатационно-технического взаимодействия и учета.  Требования:  Высшее профессиональное образование любое техническое (Электроника, радиотехника и системы связи - будет преимуществом); Знание ПК, пакета MS Office на уровне уверенного пользователя; Знание отрасли телекоммуникаций, принципов построения сетей связи; Желателен опыт работы в телекоммуникациях от 1 года, но рассмотрим и выпускников ВУЗов.  Условия:  Работа в Ростелекоме —это официальное оформление и широкий соцпакет, а ещё уникальная среда и возможность отточить свое мастерство на масштабных проектах, которыми можно гордиться; Стабильный и прозрачный доход с первого месяца: оклад + квартальная и годовая премии; Пятидневная рабочая неделя с 08:00 до 17:00, рабочее место располагается в комфортном офисе;  Ежегодный дополнительный оплачиваемый отпуск за работу в районах Крайнего Севера, приравненных к ним местностях и других районах с особыми природно-климатическими условиями, календарные дни с праздниками;  Профессиональный рост: реальная возможность получить повышение или горизонтальную ротацию в первый год благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами; Медстраховка после испытательного срока (телемедицина),жилищная и пенсионная программы, дополнительные выплаты (к отпуску, вступление в брак, рождение ребенка),помощь корпоративного психолога и юриста; Насыщенная жизнь внутри компании: спортивные событияи турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность; Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха.""",Желателен опыт работы в телекоммуникациях от 1 года; рассмотрим и выпускников ВУЗов,Технический учет транспортных сетей связи в зоне ответственности; Методологическое сопровождение подразделений сетей по вопросам технической эксплуатации; Ведение исполнительной схемной документации (только проверка и учет);; Согласование проектов и контроль хода их реализации; Приемка объектов в эксплуатацию в зоне ответственности подразделения; Взаимодействие со сторонними организациями по вопросам эксплуатационно-технического взаимодействия и учета,,Пятидневная рабочая неделя; с 08:00 до 17:00,"Высшее профессиональное образование любое техническое (Электроника, радиотехника и системы связи - будет преимуществом);",Знание ПК; MS Office; Знание отрасли телекоммуникаций; принципов построения сетей связи
"""Работа в Ростелеком – это стабильность, интересные проекты, профессиональная команда и множество возможностей для развития! А ещё Ростелеком - это не просто компания, это - команда, объединённая общими ценностями и общей целью - быть лидером телеком и digital-рынков, давать людям качественные цифровые сервисы. Обязанности: - Обеспечение круглосуточного мониторинга оборудования телефонных сетей (всех уровней);  - Анализ аварийных сообщений от систем мониторинга оборудования телефонных сетей, выяснение причин аварии, оценка объёма потерь на сетях и ограничение сервисов (в том числе и возможных); - Осуществление непосредственного участия и взаимодействия с подразделениями Общества при устранении аварийных ситуаций; - Оформление в оперативном порядке заявок на проведение АРНР; - Организация и контроль решения Инцидентов в системе ТТМ; - Оперативное взаимодействие с технической поддержкой производителей оборудования и ПО при решении инцидента (открытие кейсов); - Проведение оповещений и информирования ответственных подразделений об аварийной ситуации на оборудовании коммутации; - Контроль за проведением РНР и АВР в т.ч. во время проведения запретов работ на сети; - Определение, в случае необходимости замены неисправного оборудования, местоположения ЗИП; - Взаимодействие со смежными подразделениями КЦ, РФ; - Развитие систем мониторинга в ЗО подразделения. Требования: - Высшее/среднее специальное профильное образование; - Предпочтительны кандидаты с опытом в обслуживании, пусконаладке, настройке систем телефонии (ТФОП, TDM, NGN, SIP) и с опытом работы в системах мониторинга (Grafana/Zabbix/Nagios) от 1 года; - Чтение проф. литературы. Условия:   Работа в Ростелекоме — это официальное оформление и широкий соц. пакет, а ещё уникальная среда и возможность отточить свое мастерство на масштабных проектах, которыми можно гордиться;   Стабильный и прозрачный доход с первого месяца: оклад + ежеквартальные и годовые премии;   Рабочая неделя по графику 1/3 с 8.00-08.00 ч.;   Профессиональный рост: реальная возможность получить повышение или горизонтальную ротацию в первый год благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами;   Медстраховка после испытательного срока (телемедицина), жилищная и пенсионная программы, дополнительные выплаты (к отпуску, вступление в брак, рождение ребенка), помощь корпоративного психолога и юриста; Насыщенная жизнь внутри компании: спортивные события и турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность;   Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха.""","Предпочтительны кандидаты с опытом в обслуживании, пусконаладке; настройке систем телефонии (ТФОП, TDM, NGN, SIP) и с опытом работы в системах мониторинга (Grafana/Zabbix/Nagios) от 1 года; от 1 года","Обеспечение круглосуточного мониторинга оборудования телефонных сетей (всех уровней);; Анализ аварийных сообщений от систем мониторинга оборудования телефонных сетей; выяснение причин аварии; оценка объёма потерь на сетях и ограничение сервисов (в том числе и возможных);; Осуществление непосредственного участия и взаимодействия с подразделениями; Общества при устранении аварийных ситуаций; Оформление в оперативном порядке заявок на проведение АРНР; Организация и контроль решения Инцидентов в системе ТТМ; Оперативное взаимодействие с технической поддержкой производителей оборудования; ПО при решении инцидента (открытие кейсов);; Проведение оповещений; информирования ответственных подразделений об аварийной ситуации на оборудовании коммутации; Контроль за проведением РНР и АВР; Определение, в случае необходимости замены неисправного оборудования, местоположения ЗИП; Взаимодействие со смежными подразделениями КЦ, РФ; Развитие систем мониторинга в ЗО подразделения",Чтение проф. литературы,по графику 1/3; с 8.00-08.00 ч,Высшее/среднее специальное профильное образование,
"""Работа в Ростелеком – это стабильность, интересные проекты, профессиональная команда и множество возможностей для развития! А ещё Ростелеком - это не просто компания, это - команда, объединённая общими ценностями и общей целью - быть лидером телеком и digital-рынков, давать людям качественные цифровые сервисы. Обязанности:   Осуществляет планирование, организацию производства и обеспечивает своевременное и качественное проведение аварийно-восстановительных работ (АВР), содержание (ППР), техническое обслуживание (ТО) и ремонт (ТР, КР) линейно-кабельной инфраструктуры магистрального, внутризонового, местного уровней в сроки;   Определяет порядок проведения работ, распределяет обязанности между членами бригады и документирует работы;   Выполняет работы по измерениям электрических параметров кабеля;   Проводит монтаж волоконно-оптических линий связи;   Проводит технический надзор и приемку в эксплуатацию элементов сети на местах;   Обеспечивает сохранность имущества Общества, осуществляет технический надзор при производстве работ сторонними организациями на объектах в интересах Общества на элементах сети ПАО ”Ростелеком” и сторонних операторов при наличии заключенных Договоров;   Осуществляет планирование и выполнение работ по обеспечению охраны труда, выявление рисков по безопасности труда, участвует в разработке инструкций и других ВНД по охране труда на применяемое оборудование, на виды работ;   Проводит обучение и инструктаж по охране труда. Контролирует соблюдение условий безопасности труда.   Требования:   Высшее образование (желательно техническое);   Опыт работы в связи от 1 года;   Уверенный пользователь ПК;   Условия:   Работа в Ростелекоме — это официальное оформление и широкий соцпакет, а ещё уникальная среда и возможность отточить свое мастерство на масштабных проектах, которыми можно гордиться;   Стабильный и прозрачный доход с первого месяца: оклад + ежемесячные премии;   Пятидневная рабочая неделя с 8.00-17.00;   Профессиональный рост: реальная возможность получить повышение или горизонтальную ротацию в первый год благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами;   Медстраховка после испытательного срока (телемедицина), жилищная и пенсионная программы, дополнительные выплаты (к отпуску, вступление в брак, рождение ребенка), помощь корпоративного психолога и юриста; Насыщенная жизнь внутри компании: спортивные события и турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность;   Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха.""",Опыт работы в связи от 1 года,"Осуществляет планирование; организацию производства и обеспечивает своевременное и качественное проведение аварийно-восстановительных работ (АВР),; содержание (ППР),; техническое обслуживание (ТО) и ремонт (ТР, КР) линейно-кабельной инфраструктуры магистрального, внутризонового, местного уровней в сроки; Определяет порядок проведения работ; распределяет обязанности между членами бригады и документирует работы; Выполняет работы по измерениям электрических параметров кабеля; Проводит монтаж волоконно-оптических линий связи; Проводит технический надзор и приемку в эксплуатацию элементов сети на местах; Обеспечивает сохранность имущества Общества; осуществляет технический надзор при производстве работ сторонними организациями на объектах в интересах Общества на элементах сети ПАО ”Ростелеком” и сторонних операторов при наличии заключенных Договоров; Осуществляет планирование и выполнение работ по обеспечению охраны труда; выявление рисков по безопасности труда, участвует в разработке инструкций и других ВНД по охране труда на применяемое оборудование; Проводит обучение и инструктаж по охране труда; Контролирует соблюдение условий безопасности труда",,Пятидневная рабочая неделя; с 8.00-17.00,Высшее образование (желательно техническое);,пользователь ПК
"""Чем вам предстоит заниматься:  Входящие звонки с целью удержания и сохранения лояльности клиента (без поиска клиентов, работа с действующими клиентами); Консультирование клиентов по тарифам и услугам; Помощь в решении вопросов клиентов, путем подбора индивидуальных предложений.  Что мы от вас ждем:  Грамотная устная и письменная речь, навыки делового общения; Умение работать в режиме многозадачности, желание обучаться; Опытный пользователь ПК; Опыт работы в call-центре будет являться преимуществом.  Что мы предлагаем:  Доход состоит из оклада и премиальной части; Официальное трудоустройство согласно ТК РФ после испытательного срока, на испытательном сроке оформляем по договору ГПХ; График работы 5/2 с 09:00 до 18:00 с плавающими выходными или 2/2 с 9:00 до 21:00; Оплачиваемое двухнедельное обучение; Система наставничества на весь период адаптации в компании и дальнейшего сотрудничества; Возможность перевода на удаленный формат работы по истечению испытательного срока; Отсутствие планов продаж.  Вакансия подойдет Вам, если:  Хотите построить карьеру; Хотите получить опыт работы в колл-центре.  Будет преимуществом, если ранее работали в компаниях МТС, Билайн, ЭР-Телеком, Сбербанк, Почта Банк, Альфа-банк, в страховых компаниях Приходите, всему научим. # работа в Ростелеком # специалист по работе с клиентами # менеджер по работе с клиентами # специалист # без опыта # работа без опыта # работа для начинающих # начинающий специалист # подработка # контакт-центр""","Опыт работы в call-центре будет являться преимуществом; Будет преимуществом, если ранее работали в компаниях МТС, Билайн, ЭР-Телеком, Сбербанк, Почта Банк, Альфа-банк; без опыта; для начинающих; начинающий специалист","Входящие звонки с целью удержания и сохранения лояльности клиента; без поиска клиентов, работа с действующими клиентами; Консультирование клиентов по тарифам и услугам; Помощь в решении вопросов клиентов, путем подбора индивидуальных предложений",Грамотная устная; письменная речь; навыки делового общения; желание обучаться,5/2; с 09:00 до 18:00; 2/2; с 9:00 до 21:00; подработка,,пользователь ПК
"""Обязанности:  Эксплуатация оборудования СПД (коммутаторы, конверторы, антенны и т.д.); Проведение аварийно-восстановительных, планово-профилактических и ремонтных работ; Проведение диагностики состояния элементов сети (измерение показателей на местах).  Требования:  Высшее техническое образование; Опыт работы в сфере связи - будет являться преимуществом;  Наличие прав категории В, предоставляется корпоративный транспорт + доплата за вождение.  Условия:   Работа в Ростелекоме — это официальное оформление и широкий социальный пакет, а ещё уникальная среда и возможность отточить свое мастерство на масштабных проектах, которыми можно гордиться;   Стабильный и прозрачный доход с первого месяца: оклад + ежемесячные премии;   Пятидневная рабочая неделя с 08:00 до 17:00;   Профессиональный рост: реальная возможность получить повышение или горизонтальную ротацию в первый год благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами;   Медицинская страховка после испытательного срока (телемедицина), жилищная и пенсионная программы, дополнительные выплаты (к отпуску, вступление в брак, рождение ребенка), помощь корпоративного психолога и юриста;   Насыщенная жизнь внутри компании: спортивные события турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность;   Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха.""",Опыт работы в сфере связи - будет являться преимуществом,"Эксплуатация оборудования СПД; коммутаторы, конверторы, антенны; Проведение аварийно-восстановительных, планово-профилактических и ремонтных работ; Проведение диагностики состояния элементов сети (измерение показателей на местах).",,Пятидневная рабочая неделя; 08:00 до 17:00,Высшее техническое образование,Наличие прав категории В
"""Обязанности:  Выполнение работ по строительству сетей связи; Прокладка и монтаж ВОЛС в канализации, в грунте, по опорам; Прокладка медного кабеля, устройство абонентской разводки; Установка оконечного оборудования у юридических лиц, монтаж шкафов.  Требования:  Образование общее; Опыт в сфере связи (прокладка, монтаж ВОЛС) приветствуется, но не обязателен; Рассматриваем специалистов с опытом работы в качестве подработки.  Условия:  Оформление по договору ГПХ для долгосрочного сотрудничества (с возможностью перехода на Трудовой договор по результатам работы); Сдельная оплата труда; Обеспечиваем режим работы с понедельника по пятницу с 8:00 - до 17:00 на постоянной основе + возможность изменения режима работы; Работа в бригаде 3-5 человек. Профессиональный рост: реальная возможность получить повышение или горизонтальную ротацию в первый год благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами; Медстраховка после испытательного срока (телемедицина), жилищная и пенсионная программы, дополнительные выплаты (к отпуску, вступление в брак, рождение ребенка), помощь корпоративного психолога и юриста; Насыщенная жизнь внутри компании: спортивные события и турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность; Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха.""","Опыт в сфере связи (прокладка, монтаж ВОЛС) приветствуется; не обязателен; с опытом работы в качестве подработки","Выполнение работ по строительству сетей связи; Прокладка и монтаж ВОЛС в канализации, в грунте, по опорам; Прокладка медного кабеля; устройство абонентской разводки; Установка оконечного оборудования у юридических лиц, монтаж шкафов",,Обеспечиваем режим работы с понедельника по пятницу; с 8:00 - до 17:00; возможность изменения режима работы,Образование общее,
"""Ростелеком ищет Мастера по обслуживанию абонентов , который усилит команду блока технической инфраструктуры. Мы используем передовые технологии, чтобы дать новые возможности для людей, бизнеса и страны. Вам предстоит много передвигаться по городу, обслуживать линии связи и помогать абонентам с восстановлением доступа к цифровым услугам. В надежной команде признанного технологического лидера на рынке телекоммуникаций и IT-решений вы сможете превратить любые вызовы в возможности реализовать себя и раскрыть свой потенциал. Чем предстоит заниматься:  Обслуживание текущих абонентов (физических лиц) и устранение перебоев доступа к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом; Ремонт линий связи и настройка оборудования, проверка работоспособности; Консультирование клиентов по работе оборудования и техническим вопросам; Ведение отчетности в мобильном приложении.  Требования:  Среднее (полное) общее образование. Желателен опыт работы в компаниях связи.  Условия:  Работа в крупнейшем в России провайдере цифровых услуг и решений. Возможность карьерного и профессионального роста. Обучение для новых сотрудников. Оформление по ТК РФ. Трудоустройство с 1-го рабочего дня. Белая заработная плата на карту (оклад + премия). Ежегодный дополнительный оплачиваемый отпуск за работу в районах Крайнего Севера, приравненных к ним местностях и других районах с особыми природно-климатическими условиями.""",Желателен опыт работы в компаниях связи,"Мастера по обслуживанию абонентов , который усилит команду блока технической инфраструктуры; много передвигаться по городу; обслуживать линии связи; помогать абонентам с восстановлением доступа к цифровым услугам; Обслуживание текущих абонентов (физических лиц) и устранение перебоев доступа к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом; Ремонт линий связи и настройка оборудования; проверка работоспособности; Консультирование клиентов по работе оборудования и техническим вопросам; Ведение отчетности в мобильном приложении",,,Требования: Среднее (полное) общее образование,
"""Ростелеком ищет Универсального специалиста связи  , который усилит команду блока технической инфраструктуры. Мы используем передовые технологии, чтобы дать новые возможности для людей, бизнеса и страны. Вам предстоит много передвигаться по городу, обслуживать линии связи и помогать абонентам с восстановлением доступа к цифровым услугам. В надежной команде признанного технологического лидера на рынке телекоммуникаций и IT-решений вы сможете превратить любые вызовы в возможности реализовать себя и раскрыть свой потенциал. Чем предстоит заниматься:   Обслуживание текущих абонентов (физических лиц) и устранение перебоев доступа к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом;  Ремонт линий связи и настройка оборудования, проверка работоспособности;  Консультирование клиентов по работе оборудования и техническим вопросам;  Ведение отчетности в мобильном приложении.  Требования:  Среднее (полное) общее образование. Желателен опыт работы в компаниях связи.  Условия:  Работа в крупнейшем в России провайдере цифровых услуг и решений. Возможность карьерного и профессионального роста. Обучение для новых сотрудников. Оформление по ТК РФ. Трудоустройство с 1-го рабочего дня. Белая заработная плата на карту (оклад + премия). Ежегодный дополнительный оплачиваемый отпуск за работу в районах Крайнего Севера, приравненных к ним местностях и других районах с особыми природно-климатическими условиями.""",Желателен опыт работы в компаниях связи,"Обслуживание текущих абонентов (физических лиц) и устранение перебоев доступа к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом; Ремонт линий связи и настройка оборудования, проверка работоспособности; Консультирование клиентов по работе оборудования и техническим вопросам; Ведение отчетности в мобильном приложении",,,Среднее (полное) общее образование,
"""Ростелеком – крупнейший провайдер цифровых услуг и решений, присутствующий во всех сегментах рынка и охватывающий миллионы домохозяйств в России.Ростелеком является безусловным лидером рынка телекоммуникационных услуг для российских органов государственной власти и корпоративных пользователей всех уровней. На массовом рынке компания развивает широкую линейку сервисов для семьи, включая базовые услуги. Обязанности:  Подключение абонентов (физ.лица) к услугам интернета, ТВ и телефонии; Настройка оборудования.  Требования:  Образование не ниже среднего; Опыт электромонтажных работ будет преимуществом; Ответственность; Можно без опыта.  Условия:  Работа в федеральной телекоммуникационной компании; Участие в масштабных проектах; Официальное оформление по ТК; Достойный уровень дохода; Удобный график работы; Оборудование, материалы, форма и СИЗ за счет компании; Молодой и дружный коллектив профессионалов; Обучение от компетентного Наставника и стажировка за счёт компании!""",Опыт электромонтажных работ будет преимуществом; Можно без опыта,"Подключение абонентов (физ.лица) к услугам интернета, ТВ и телефонии; Настройка оборудования",,Удобный график работы,Образование не ниже среднего,
"""Ростелеком ищет Монтажника интернет-сетей, который усилит команду блока технической инфраструктуры. Вам предстоит много передвигаться по городу, подключать цифровые услуги и решения новым абонентам компании, настраивать оборудование. Обязанности:  Подключение новых абонентов (физических лиц) к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом; Настройка оборудования и первичная проверка работоспособности; Консультирование клиентов по работе оборудования и техническим вопросам; Ведение отчетности в мобильном приложении.  Что мы от вас ждем:  Образование не ниже среднего; Опыт работы не обязателен; Готовность к разъездному и интенсивному характеру работы.  Что мы предлагаем:  Ежемесячные премии по результатам работы; График работы 2/2; Оформление в штат с первого рабочего дня, расширенный соцпакет после испытательного срока: телемедицина; Всестороннее развитие: корпоративный онлайн-университет, доступ к электронным библиотекам с широким выбором бизнес-литературы, компенсация профильного внешнего обучения; Компенсация сотовой связи и специальные условия на услуги компании для сотрудников, корпоративные скидки у компаний-партнеров.  Мы всему научим, но если есть опыт, это поможет в дальнейшей работе:  Опыт электромонтажных работ, настройки оборудования для выхода в интернет; Опыт работы в телекоммуникациях (инсталляция услуг связи или выездная техническая поддержка); Понимание работы сетей и схем подключения оборудования;  Станьте частью команды крупнейшего в России интегрированного провайдера цифровых услуг и решений: влияйте своей работой на цифровой ландшафт страны и развивайтесь вместе с технологиями!""","Опыт работы не обязателен; если есть опыт, это поможет в дальнейшей работе; Опыт электромонтажных работ, настройки оборудования для выхода в интернет; Опыт работы в телекоммуникациях (инсталляция услуг связи или выездная техническая поддержка","много передвигаться по городу; подключать цифровые услуги и решения новым абонентам компании; настраивать оборудование; Подключение новых абонентов (физических лиц) к услугам компании; интернет, интерактивное ТВ, видеонаблюдение, умный дом; Настройка оборудования и первичная проверка работоспособности; Консультирование клиентов по работе оборудования и техническим вопросам; Ведение отчетности в мобильном приложении",Готовность к разъездному и интенсивному характеру работы,График работы 2/2,Образование не ниже среднего,Понимание работы сетей и схем подключения оборудования
